iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
215,35731640.5,35721628.4,0.0,573,ER15,20
216,35731640.5,35721628.4,0.0,573,ER5,20
217,35731640.5,35721628.4,0.0,572,ER6,20
218,35731640.5,35721628.4,0.0,572,ER5,20
219,35731640.5,35721628.4,0.0,709,ER13,20
220,35731640.5,35721628.4,0.0,545,ER13,20
221,35731640.5,35721628.4,0.0,545,ER12,20
222,35731640.5,35721628.4,0.0,728,ER16,20
223,35731640.5,35721628.4,0.0,728,ER15,20
224,35731640.5,35721628.4,0.0,799,ER6,20
225,35731640.5,35721628.4,0.0,799,ER7,20
226,35731640.5,35721628.4,0.0,861,ER8,20
227,35731640.5,35721628.4,0.0,861,ER1,20
228,35731640.5,35721628.4,0.0,644,ER2,20
229,35731640.5,35721628.4,0.0,466,ER10,20
230,35731640.5,35721628.4,0.0,466,ER11,20
231,35731640.5,35721628.4,0.0,439,ER15,20
232,35731640.5,35721628.4,0.0,439,ER16,20
233,35731640.5,35721628.4,0.0,703,ER16,20
234,35731640.5,35721628.4,0.0,703,ER13,20
235,35731640.5,35721628.4,0.0,709,ER5,20
236,35731640.5,35721628.4,0.0,573,ER15,20
237,35731640.5,35721628.4,0.0,573,ER5,20
238,35731640.5,35721628.4,0.0,572,ER6,20
239,35731640.5,35721628.4,0.0,572,ER5,20
240,35731640.5,35721628.4,0.0,709,ER13,20
241,35731640.5,35721628.4,0.0,545,ER13,20
242,35731640.5,35721628.4,0.0,545,ER12,20
243,35731640.5,35721628.4,0.0,728,ER16,20
244,35731640.5,35721628.4,0.0,728,ER15,20
245,35731640.5,35721628.4,0.0,799,ER6,20
246,35731640.5,35721628.4,0.0,799,ER7,20
247,35731640.5,35721628.4,0.0,861,ER8,20
248,35731640.5,35721628.4,0.0,861,ER1,20
249,35731640.5,35721628.4,0.0,644,ER1,20
250,35601640.5,35601640.5,0.0,466,ER10,20
251,35601640.5,35601640.5,0.0,466,ER11,20
252,35601640.5,35601640.5,0.0,439,ER15,20
253,35601640.5,35601640.5,0.0,439,ER16,20
254,35601640.5,35601640.5,0.0,703,ER16,20
255,35601640.5,35601640.5,0.0,703,ER13,20
256,35601640.5,35601640.5,0.0,709,ER5,20
257,35601640.5,35601640.5,0.0,573,ER15,20
258,35601640.5,35601640.5,0.0,573,ER5,20
259,35601640.5,35601640.5,0.0,572,ER6,20
260,35601640.5,35601640.5,0.0,572,ER5,20
261,35601640.5,35601640.5,0.0,709,ER13,20
262,35601640.5,35601640.5,0.0,545,ER13,20
263,35601640.5,35601640.5,0.0,545,ER12,20
264,35601640.5,35601640.5,0.0,728,ER16,20
265,35601640.5,35601640.5,0.0,728,ER15,20
266,35601640.5,35601640.5,0.0,799,ER6,20
267,35601640.5,35601640.5,0.0,799,ER7,20
268,35601640.5,35601640.5,0.0,861,ER8,20
269,35601640.5,35601640.5,0.0,861,ER1,20
270,35601640.5,35601640.5,0.0,644,ER2,20
271,35601640.5,35601640.5,0.0,466,ER10,20
272,35601640.5,35601640.5,0.0,466,ER11,20
273,35601640.5,35601640.5,0.0,439,ER15,20
274,35601640.5,35601640.5,0.0,439,ER16,20
275,35601640.5,35601640.5,0.0,703,ER16,20
