iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
155,28881388.599999998,28881388.599999998,0.0,325,ER9,20
156,28881388.599999998,28881388.599999998,0.0,325,ER11,20
157,28881388.599999998,28881388.599999998,0.0,224,ER12,20
158,28881388.599999998,28881388.599999998,0.0,52,ER16,20
159,28881388.599999998,28881388.599999998,0.0,52,ER14,20
160,28881388.599999998,28881388.599999998,0.0,48,ER7,20
161,28881388.599999998,28881388.599999998,0.0,48,ER14,20
162,28881388.599999998,28881388.599999998,0.0,129,ER8,20
163,28881388.599999998,28881388.599999998,0.0,129,ER5,20
164,28881388.599999998,28881388.599999998,0.0,224,ER14,20
165,28881388.599999998,28881388.599999998,0.0,87,ER6,20
166,28881367.2,28881367.2,-21.4,424,ER5,20
167,28881351.2,28881351.2,-16.0,89,ER6,20
168,28881351.2,28881351.2,0.0,228,ER14,20
169,28881351.2,28881351.2,0.0,327,ER12,20
170,28881351.2,28881351.2,0.0,327,ER9,20
171,28881351.2,28881351.2,0.0,228,ER12,20
172,28881351.2,28881351.2,0.0,152,ER9,20
173,28881351.2,28881351.2,0.0,152,ER2,20
174,28881351.2,28881351.2,0.0,200,ER7,20
175,28881351.2,28881351.2,0.0,89,ER2,20
176,28881351.2,28881351.2,0.0,325,ER9,20
177,28881351.2,28881351.2,0.0,325,ER11,20
178,28881351.2,28881351.2,0.0,89,ER6,20
179,28881351.2,28881351.2,0.0,52,ER16,20
180,28881351.2,28881351.2,0.0,52,ER14,20
181,28881351.2,28881351.2,0.0,48,ER7,20
182,28881351.2,28881351.2,0.0,48,ER14,20
183,28881351.2,28881351.2,0.0,129,ER8,20
184,28881351.2,28881351.2,0.0,129,ER5,20
185,28881351.2,28881351.2,0.0,200,ER2,20
186,28881351.2,28881351.2,0.0,272,ER3,20
187,28881340.2,28881340.2,-11.0,268,ER3,20
188,28881340.3,28881340.2,0.09999999999999964,244,ER11,20
189,28871351.3,28871351.3,-9989.0,337,ER3,20
190,28871340.900000002,28871340.900000002,-10.400000000000002,325,ER9,20
191,28871340.900000002,28871340.900000002,0.0,228,ER14,20
192,28871340.900000002,28871340.900000002,0.0,327,ER12,20
193,28871340.900000002,28871340.900000002,0.0,327,ER9,20
194,28871340.900000002,28871340.900000002,0.0,228,ER12,20
195,28871340.900000002,28871340.900000002,0.0,200,ER7,20
196,28871340.900000002,28871340.900000002,0.0,89,ER2,20
197,28871341.1,28871340.900000002,0.20000000000000284,344,ER11,20
198,28871340.900000002,28871340.900000002,-0.20000000000000284,344,ER8,20
199,28871340.900000002,28871340.900000002,0.0,89,ER6,20
